Date / Water Source,Kearl1,Kearl2,Kearl3
2012-03-16,6.00,0.00,0.00
2012-03-14,7.00,0.00,0.00
2012-03-11,33.00,0.00,0.00
2012-03-09,27.00,0.00,0.00
2012-03-08,50.50,0.00,0.00
2012-03-07,52.50,0.00,0.00
2012-03-06,67.50,0.00,0.00
2012-03-05,75.00,0.00,0.00
2012-03-03,147.50,0.00,0.00
2012-03-02,75.50,0.00,0.00
2012-03-01,68.50,0.00,0.00
2012-02-29,72.50,0.00,0.00
2012-02-28,91.50,0.00,0.00
2012-02-27,95.50,0.00,0.00
2012-02-26,71.00,0.00,0.00
2012-02-25,0.00,0.00,68.50
2012-02-24,62.50,0.00,0.00
2012-02-23,64.00,0.00,0.00
2012-02-22,87.00,0.00,0.00
2012-02-21,76.00,0.00,0.00
2012-02-20,77.50,0.00,0.00
2012-02-19,96.00,0.00,0.00
2012-02-18,73.00,0.00,0.00
2012-02-16,81.00,0.00,0.00
2012-02-15,92.50,0.00,0.00
2012-02-14,90.50,0.00,0.00
2012-02-13,150.00,0.00,0.00
2012-02-12,128.50,0.00,30.00
2012-02-11,119.00,0.00,30.00
2012-02-10,102.00,0.00,18.00
2012-02-09,77.50,0.00,0.00
2012-02-08,116.50,0.00,0.00
2012-02-07,73.50,0.00,0.00
2012-02-06,71.00,0.00,0.00
2012-02-05,78.50,0.00,0.00
2012-02-04,81.00,0.00,42.00
2012-02-03,84.00,0.00,78.00
2012-02-02,108.00,0.00,66.00
2012-02-01,119.50,0.00,12.00
2012-01-31,163.00,0.00,0.00
2012-01-30,83.50,0.00,84.00
2012-01-29,65.50,0.00,60.00
2012-01-28,67.50,0.00,72.00
2012-01-27,70.00,0.00,66.00
2012-01-26,73.00,0.00,0.00
2012-01-25,65.50,0.00,24.00
2012-01-24,55.50,0.00,60.00
2012-01-23,98.00,0.00,60.00
2012-01-22,88.00,0.00,54.00
2012-01-21,65.50,0.00,108.00
2012-01-20,123.00,0.00,120.00
2012-01-19,129.00,0.00,60.00
2012-01-18,62.00,0.00,90.00
2012-01-17,42.00,0.00,114.00
2012-01-16,23.50,0.00,78.00
2012-01-15,66.50,0.00,126.00
2012-01-14,73.00,0.00,132.00
2012-01-13,51.50,0.00,87.00
2012-01-12,28.50,0.00,318.00
2012-01-11,58.50,0.00,270.00
2012-01-10,48.50,0.00,190.00
2012-01-09,64.00,0.00,0.00
2012-01-08,168.50,0.00,0.00
2012-01-07,728.00,0.00,0.00
2012-01-06,615.00,0.00,0.00
2011-12-21,158.00,0.00,0.00
2011-12-20,476.00,0.00,0.00
2011-12-19,364.00,0.00,0.00
2011-12-18,832.00,0.00,0.00
2011-12-17,736.00,0.00,0.00
2011-12-16,652.00,0.00,0.00
2011-12-15,611.50,0.00,0.00
2011-12-14,592.00,0.00,0.00
2011-12-13,581.00,0.00,0.00
2011-12-12,534.50,0.00,0.00
2011-12-11,625.00,0.00,0.00
2011-12-10,270.00,0.00,0.00
2011-12-09,202.00,0.00,0.00
2011-12-08,225.00,0.00,0.00
2011-12-07,205.00,0.00,0.00
2011-12-06,181.00,0.00,0.00
2011-12-05,174.00,0.00,0.00
2011-12-04,93.00,0.00,0.00
TOTAL,13738,0,2517.5
