Date / Sump Source,Kearl1,Kearl2,Kearl3,Kearl4,Kearl5,Kearl6,Syncrude1
2013-03-30,0.00,0.00,0.00,51.00,0.00,18.00,
2013-03-29,0.00,0.00,0.00,56.00,0.00,23.00,
2013-03-28,0.00,0.00,6.00,63.50,0.00,4.00,
2013-03-27,0.00,0.00,5.50,55.00,0.00,0.00,
2013-03-26,0.00,0.00,0.00,41.00,0.00,3.00,
2013-03-25,0.00,0.00,20.00,42.00,0.00,22.00,
2013-03-24,0.00,0.00,27.00,25.50,0.00,14.50,
2013-03-23,0.00,0.00,0.00,30.50,0.00,16.00,
2013-03-22,0.00,0.00,0.00,25.00,0.00,11.00,
2013-03-21,0.00,0.00,89.00,59.00,10.00,10.00,
2013-03-20,0.00,0.00,3.50,44.00,0.00,0.00,
2013-03-19,0.00,0.00,8.00,31.00,0.00,16.00,
2013-03-18,0.00,0.00,4.50,15.00,0.00,13.00,
2013-03-17,0.00,0.00,0.50,19.00,0.00,16.00,
2013-03-16,0.00,0.00,0.00,27.00,0.00,6.00,
2013-03-15,0.00,0.00,22.00,39.00,0.00,1.50,
2013-03-14,0.00,0.00,0.00,34.00,0.00,0.00,
2013-03-13,0.00,0.00,34.00,20.00,0.00,8.00,
2013-03-12,0.00,0.00,5.50,17.00,0.00,6.00,
2013-03-11,0.00,0.00,31.50,59.00,0.00,4.00,
2013-03-10,0.00,0.00,5.50,24.50,0.00,0.00,
2013-03-09,0.00,0.00,0.00,46.50,6.50,0.00,
2013-03-08,0.00,0.00,26.00,56.00,0.00,0.00,
2013-03-07,0.00,0.00,8.00,33.00,0.00,0.00,
2013-03-06,,,,,,,21.00
2013-03-05,,,,,,,42.50
2013-03-04,,,,,,,54.00
2013-03-03,,,,,,,62.00
2013-03-02,,,,,,,57.00
2013-03-01,,,,,,,88.50
2013-02-27,,,,,,,53.00
2013-02-26,0.00,0.00,19.00,0.00,12.00,0.00,64.00
2013-02-25,0.00,0.00,37.00,0.00,12.00,0.00,46.00
2013-02-24,0.00,0.00,10.00,0.00,0.00,0.00,8.00
2013-02-23,0.00,0.00,7.00,0.00,0.00,0.00,51.50
2013-02-22,9.00,0.00,13.00,0.00,0.00,0.00,59.00
2013-02-21,0.00,0.00,13.00,0.00,0.00,0.00,
2013-02-20,0.00,0.00,21.00,0.00,8.00,0.00,33.00
2013-02-19,0.00,0.00,8.00,0.00,0.00,0.00,77.00
2013-02-18,,,,,,,29.00
2013-02-17,0.00,0.00,19.00,0.00,6.00,0.00,36.00
2013-02-16,0.00,0.00,4.00,18.00,0.00,6.00,
2013-02-15,0.00,0.00,19.00,3.00,6.00,5.00,
2013-02-14,0.00,0.00,24.00,27.00,0.00,10.00,
2013-02-13,0.00,0.00,64.00,49.50,7.00,5.00,
2013-02-12,0.00,0.00,10.00,61.00,0.00,2.00,
2013-02-11,0.00,0.00,22.00,41.50,8.00,20.00,
2013-02-10,0.00,0.00,8.00,47.50,0.00,11.00,
2013-02-09,0.00,0.00,8.00,58.50,0.00,0.00,
2013-02-08,0.00,0.00,28.00,96.00,0.00,0.00,
2013-02-07,0.00,0.00,78.00,38.00,7.00,11.00,
2013-02-06,0.00,0.00,53.00,41.00,0.00,0.00,
2013-02-05,0.00,0.00,32.00,27.00,0.00,4.00,
2013-02-04,0.00,0.00,89.00,31.00,8.00,8.00,
2013-02-03,0.00,0.00,97.00,67.00,0.00,6.50,
2013-02-02,0.00,0.00,83.20,48.50,0.00,8.00,
