unit,area,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6,loc_7,loc_8,loc_9,loc_10,loc_11,loc_12
CW3-CHW06,Syncrude,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CW4-CHW033,Syncrude,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DW1-M1,Kearl,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DW2-M4,Kearl,0.00,17.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DW3-506,Kearl,0.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DW6-Major 2001,Kearl,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
