unit,area,loc_1,loc_2,loc_3
CW3-R148,Kearl,165.00,0.00,0.00
CW4-R149,Kearl,219.00,0.00,0.00
DW1-BERTRAM,Kearl,21.75,0.00,0.00
DW2-BERTRAM,Kearl,29.00,0.00,0.00
DW3-BERTRAM,Kearl,20.00,0.00,0.00
