unit,area,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6
DV1-003,Kearl,0.00,0.00,0.00,1.00,0.00,0.00
DV3-005,Kearl,0.00,0.00,0.00,0.00,0.00,8.00
