unit,area,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6
DV1-003,Kearl,,,0.00,15.00,0.00,0.00
DV2-004,Kearl,,,0.00,9.00,0.00,0.00
DV3-005,Kearl,,,0.00,6.00,0.00,0.00
Misc-4-AspenV512,Kearl,,,13.00,0.00,0.00,0.00
