unit,area,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6
DV1-003,Kearl,,,0.00,7.00,0.00,0.00
DV2-004,Kearl,,,0.00,15.00,0.00,2.00
DV3-005,Kearl,,,0.00,12.00,0.00,0.00
DV4-007,Kearl,,,0.00,0.00,0.00,0.00
