unit,area,loc_1,loc_2,loc_3
CW3-CHW06,Kearl,135.00,0.00,0.00
CW4-CHW033,Kearl,156.00,0.00,0.00
DW1-M1,Kearl,12.00,0.00,0.00
DW2-M4,Kearl,36.00,0.00,0.00
DW3-506,Kearl,24.00,0.00,0.00
