unit,area,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6
DV1-003,Kearl,0.00,0.00,0.00,7.00,0.00,2.00
DV2-004,Kearl,0.00,0.00,0.00,6.00,0.00,0.00
DV3-005,Kearl,0.00,0.00,0.00,19.50,0.00,0.00
DV4-007,Kearl,0.00,0.00,0.00,17.00,0.00,3.00
Misc1-AspenV514,Kearl,0.00,0.00,30.00,0.00,0.00,0.00
Misc1-AspenV537,Kearl,0.00,0.00,34.00,0.00,0.00,0.00
Misc4-AspenV512,Kearl,0.00,0.00,0.00,0.00,7.00,0.00
