unit,area,loc_1,loc_2,loc_3
DV1-003,Kearl,26.00,0.00,
DV2-004,Kearl,13.00,0.00,
DV3-005,Kearl,20.00,0.00,
Misc1-AspenV514,Kearl,22.00,0.00,
Misc3-AspenV503,Kearl,9.00,0.00,
