unit,area,loc_1,loc_2,loc_3,loc_4,loc_5,loc_6
DV1-003,Syncrude,8.00,,,,,
DV2-004,Syncrude,0.00,,,,,
DV3-005,Syncrude,5.00,,,,,
DV4-007,Syncrude,44.00,,,,,
