unit,area,loc_1,loc_2,loc_3
CW1-CHW02,Kearl,78.00,0.00,0.00
CW2-CHW03,Kearl,108.00,0.00,0.00
CW3-CHW06,Kearl,240.00,0.00,0.00
CW4-CHW033,Kearl,255.00,0.00,0.00
DW1-M1,Kearl,14.00,0.00,0.00
DW2-M4,Kearl,47.00,0.00,0.00
DW3-506,Kearl,34.00,0.00,0.00
