unit,area,loc_1,loc_2,loc_3
CW3-CHW06,Kearl,165.00,0.00,0.00
CW4-CHW033,Kearl,122.00,0.00,0.00
CW6-C2,Kearl,105.00,0.00,0.00
DW1-M1,Kearl,18.00,0.00,0.00
DW2-M4,Kearl,14.00,0.00,0.00
DW3-506,Kearl,50.00,0.00,0.00
